City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vardo,NO,70.3705,31.1107,39.18,87,100,18.41,overcast clouds
80,Takoradi,GH,4.8845,-1.7554,74.37,92,100,3.62,moderate rain
81,Puerto Ayora,EC,-0.7393,-90.3518,71.08,89,56,5.82,broken clouds
82,Faanui,PF,-16.4833,-151.75,80.8,72,10,11.43,clear sky
83,Salaverry,PE,-8.2333,-78.9667,59.38,89,24,7.38,few clouds
84,Mahebourg,MU,-20.4081,57.7,77.29,69,75,9.22,broken clouds
85,Salalah,OM,17.0151,54.0924,86.09,70,75,5.75,broken clouds
86,Namie,JP,37.4833,141.0,66.72,91,100,9.35,overcast clouds
87,Lianzhou,CN,24.7811,112.3825,66.4,99,100,1.19,overcast clouds
88,Bethel,US,41.3712,-73.414,72.34,86,0,0.0,clear sky
89,Kodiak,US,57.79,-152.4072,45.91,93,100,16.11,light rain
90,Lebu,CL,-37.6167,-73.65,52.79,89,97,15.01,overcast clouds
91,Margate,GB,51.3813,1.3862,53.69,89,73,1.7,broken clouds
92,Grindavik,IS,63.8424,-22.4338,43.27,87,0,18.41,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,63.99,94,100,1.83,overcast clouds
94,Paoua,CF,7.2427,16.4406,70.07,90,98,3.56,overcast clouds
95,New Norfolk,AU,-42.7826,147.0587,55.92,52,90,1.21,overcast clouds
96,Nuuk,GL,64.1835,-51.7216,39.81,93,75,35.68,light snow
97,Honningsvag,NO,70.9821,25.9704,42.55,81,60,8.05,broken clouds
98,Pangnirtung,CA,66.1451,-65.7125,28.17,82,100,8.23,overcast clouds
99,Aksha,RU,50.2814,113.2867,73.0,23,74,19.84,broken clouds
100,Mar Del Plata,AR,-38.0023,-57.5575,46.94,92,18,1.99,few clouds
101,Esil,KZ,51.9556,66.4042,47.62,62,78,20.47,light rain
102,Barabai,ID,-2.5833,115.3833,92.01,53,67,1.5,broken clouds
103,Saskylakh,RU,71.9167,114.0833,34.81,100,100,3.31,overcast clouds
104,Balikpapan,ID,-1.2675,116.8289,86.99,74,20,4.61,few clouds
105,Russell,US,32.3502,-85.1999,72.63,94,0,4.61,clear sky
106,Thinadhoo,MV,0.5333,72.9333,83.52,72,100,10.45,overcast clouds
107,Severodvinsk,RU,64.5635,39.8302,32.11,60,64,11.56,broken clouds
108,Bluff,NZ,-46.6,168.3333,48.67,65,69,21.39,broken clouds
109,Tura,IN,25.5198,90.2201,85.57,62,13,4.65,few clouds
110,Fortuna,US,40.5982,-124.1573,51.93,89,100,8.05,overcast clouds
111,Nanortalik,GL,60.1432,-45.2371,39.33,85,100,9.42,overcast clouds
112,Hithadhoo,MV,-0.6,73.0833,83.46,69,100,11.03,overcast clouds
113,Narsaq,GL,60.9167,-46.05,37.62,79,100,5.7,overcast clouds
114,Busselton,AU,-33.65,115.3333,68.23,72,53,24.67,moderate rain
115,Udachnyy,RU,66.4167,112.4,57.11,41,18,4.09,few clouds
116,Parrita,CR,9.5201,-84.3225,78.06,86,100,1.61,overcast clouds
117,Chardara,KZ,41.2547,67.9692,63.77,38,100,9.46,overcast clouds
118,Saint-Pierre,RE,-21.3393,55.4781,76.91,47,0,6.91,clear sky
119,Port Hardy,CA,50.6996,-127.4199,48.38,87,20,2.3,fog
120,Matadi,CD,-5.8167,13.45,69.44,97,85,2.19,overcast clouds
121,Clyde River,CA,70.4692,-68.5914,19.63,93,100,16.11,light snow
122,Egvekinot,RU,66.3167,-179.1667,48.52,50,63,2.86,broken clouds
123,Nurota,UZ,40.5614,65.6886,62.19,35,42,7.38,scattered clouds
124,Codrington,AU,-38.2667,141.9667,58.8,62,5,8.66,clear sky
125,Khatanga,RU,71.9667,102.5,36.21,86,100,8.14,overcast clouds
126,Berbera,SO,10.4396,45.0143,94.15,41,96,10.0,overcast clouds
127,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,19.57,scattered clouds
128,Biak,ID,-0.9131,122.8766,83.23,67,31,5.08,scattered clouds
129,Najran,SA,17.4924,44.1277,84.85,8,31,1.34,scattered clouds
130,Sibu,MY,2.3,111.8167,89.91,66,40,3.44,scattered clouds
131,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,93,100,4.61,overcast clouds
132,Achalpur,IN,21.2572,77.5086,94.82,30,0,14.23,clear sky
133,Nome,US,64.5011,-165.4064,62.17,39,0,6.91,clear sky
134,Ipixuna,BR,-1.7625,-48.8043,69.71,98,87,2.62,overcast clouds
135,Chokurdakh,RU,70.6333,147.9167,34.45,100,100,1.77,overcast clouds
136,Kjollefjord,NO,70.9457,27.3465,42.85,94,100,3.58,overcast clouds
137,Nhulunbuy,AU,-12.2333,136.7667,88.41,55,40,17.27,scattered clouds
138,Sao Filipe,CV,14.8961,-24.4956,71.19,79,69,6.35,broken clouds
139,Deputatskiy,RU,69.3,139.9,31.39,100,100,1.36,overcast clouds
140,Itoman,JP,26.1247,127.6694,81.37,69,75,12.66,broken clouds
141,Rincon,US,32.296,-81.2354,74.84,88,20,9.22,light rain
142,Kununurra,AU,-15.7667,128.7333,91.38,21,4,6.91,clear sky
143,Kapaa,US,22.0752,-159.319,78.78,91,100,11.5,overcast clouds
144,Obosi,NG,6.0951,6.8177,72.57,98,84,3.78,broken clouds
145,Caravelas,BR,-17.7125,-39.2481,70.29,73,0,6.69,clear sky
146,Abu Samrah,SY,35.3029,37.1841,80.15,12,84,10.27,broken clouds
147,Teberda,RU,43.4456,41.7448,56.75,64,0,9.51,clear sky
148,Puerto Guzman,CO,0.9703,-76.5858,68.38,96,14,3.38,few clouds
149,Raudeberg,NO,61.9875,5.1352,49.87,87,99,14.38,overcast clouds
